municipio,domicilios,domicilios_crianca_fora_da_escola,domicilios_crianca_com_atraso_escolar,domicilios_com_trabalho_infantil,criancas_ate_11_anos,criancas_ate_11_anos_pobres_vulneraveis
Materlândia,1286,45,122,10,957,706
Mateus Leme,8600,149,380,78,5133,2111
Matias Barbosa,4281,42,129,37,2194,526
Matias Cardoso,2504,153,331,102,2527,2044
Matipó,5079,125,293,113,3829,2015
Mato Verde,4002,103,130,121,2111,1477
Matozinhos,9963,147,234,38,5977,1642
Matutina,1403,21,30,11,545,173
Medeiros,1134,16,22,13,607,309
Medina,6156,140,472,122,4220,2310
Mendes Pimentel,2083,57,73,37,1080,657
Mercês,3331,92,76,52,1698,873
Mesquita,1811,52,60,34,1005,585
Minas Novas,7582,471,877,441,6679,5471
Minduri,1147,28,69,23,653,291
Mirabela,3771,137,174,94,2549,1863
Miradouro,3331,55,171,106,1787,913
Miraí,4209,52,117,67,2310,881
Miravânia,1189,68,131,57,1052,865
Moeda,1485,22,91,14,781,459
Moema,2287,50,21,40,1219,366
Monjolos,690,28,50,3,458,325
Monsenhor Paulo,2547,53,46,22,1406,442
Montalvânia,4420,162,352,92,3268,2448
Monte Alegre de Minas,6861,106,211,103,3154,1216
Monte Azul,6983,193,314,224,3297,2278
Monte Belo,4368,80,63,48,2037,849
Monte Carmelo,15149,85,241,52,7889,1913
Monte Formoso,1230,76,135,48,1297,1061
Monte Santo de Minas,7245,108,183,55,3255,1199
Montes Claros,105295,1091,1761,629,65779,17450
Monte Sião,7060,124,153,161,3358,1095
Montezuma,1897,101,187,102,1641,1173
Morada Nova de Minas,2843,51,132,30,1433,747
Morro da Garça,811,22,21,5,524,347
Morro do Pilar,1069,62,61,18,602,353
Munhoz,1954,73,63,24,1139,633
Muriaé,33416,391,564,235,15566,3616
Mutum,8572,409,343,400,4923,3390
Muzambinho,6670,80,139,79,3136,1027
Nacip Raydan,924,33,73,18,621,403
Nanuque,13061,170,315,75,7599,2954
Naque,1840,47,71,25,1225,501
Natalândia,1064,18,48,24,681,303
Natércia,1609,17,22,15,637,257
Nazareno,2451,29,23,13,1416,497
Nepomuceno,8031,184,232,123,4526,1965
Ninheira,2592,137,362,109,1942,1629
Nova Belém,1175,32,68,36,728,570
Nova Era,5238,46,128,33,3038,986
Nova Lima,24502,147,349,79,12551,1907
Nova Módica,1174,21,67,16,718,483
Nova Ponte,3986,49,123,50,2481,687
Nova Porteirinha,2032,84,128,129,1491,1126
Nova Resende,4975,266,103,194,2811,1697
Nova Serrana,22100,396,310,316,14638,2969
Novo Cruzeiro,7991,582,918,427,7551,6206
Novo Oriente de Minas,3026,141,354,118,2099,1528
Novorizonte,1420,52,57,26,1029,721
Olaria,670,13,18,11,280,134
Olhos-d'Água,1483,50,114,88,1160,793
Olímpio Noronha,799,6,21,6,398,116
Oliveira,12112,187,188,60,6456,1552
Oliveira Fortes,671,21,19,6,335,204
Onça de Pitangui,928,31,46,31,594,381
Oratórios,1285,13,73,8,807,364
Orizânia,2204,135,210,70,1488,1151
Ouro Branco,10432,77,272,54,5906,1220
Ouro Fino,10620,133,145,152,4771,1613
Ouro Preto,20662,195,586,100,11658,3730
Ouro Verde de Minas,1713,71,114,37,1231,820
