Índice de Gini da renda domiciliar per capita segundo Município - Minas Gerais;;;
Período: 1991, 2000 e 2010;;;
314620 Ouro Verde de Minas;0,5336;0,5168;0,5188
314625 Padre Carvalho;...;0,5811;0,4454
314630 Padre Paraíso;0,5015;0,6111;0,551
314655 Pai Pedro;...;0,5462;0,4678
314640 Paineiras;0,5508;0,4801;0,4626
314650 Pains;0,5635;0,4914;0,4676
314660 Paiva;0,4703;0,432;0,4476
314670 Palma;0,6001;0,5786;0,5087
314675 Palmópolis;...;0,6377;0,4627
314690 Papagaios;0,5923;0,6388;0,5014
314710 Pará de Minas;0,5624;0,573;0,4348
314700 Paracatu;0,5799;0,6052;0,5151
314720 Paraguaçu;0,5195;0,5509;0,4196
